matchKey,startTime,red1,red2,red3,blue1,blue2,blue3
2024inmis_qm1,,461,5402,6956,45,1024,5484
2024inmis_qm10,,1024,3147,6721,2171,2909,4272
2024inmis_qm11,,1646,3865,7198,71,1555,2197
2024inmis_qm12,,7477,8103,9119,3147,3936,5484
2024inmis_qm13,,461,2867,3940,328,3865,6721
2024inmis_qm14,,4272,6956,9530,71,2171,5402
2024inmis_qm15,,45,829,9554,2197,2909,3176
2024inmis_qm16,,1024,1501,9071,135,1646,9431
2024inmis_qm17,,829,4272,7477,2171,9119,9530
2024inmis_qm18,,461,8103,9071,3176,5402,9431
2024inmis_qm19,,135,5484,7198,328,2909,3147
2024inmis_qm2,,135,3936,7477,1646,2909,9554
2024inmis_qm20,,3936,6721,9554,45,3865,6956
2024inmis_qm21,,1501,1646,2867,1024,1555,3940
2024inmis_qm22,,135,2197,9071,45,71,3936
2024inmis_qm23,,1555,2909,3865,461,1024,3176
2024inmis_qm24,,1646,6956,7477,829,3147,8103
2024inmis_qm25,,1501,3940,9554,71,2867,7198
2024inmis_qm26,,5402,6721,9119,328,2171,9431
2024inmis_qm27,,2197,3940,4272,1501,5484,9530
2024inmis_qm28,,7198,9431,9554,2867,6721,7477
2024inmis_qm29,,328,1024,3936,829,2197,6956
2024inmis_qm3,,2197,2867,9530,9071,9119,9431
2024inmis_qm30,,45,461,3147,71,9071,9530
2024inmis_qm31,,3176,3865,9119,1646,4272,8103
2024inmis_qm32,,135,1555,2171,2909,5402,5484
2024inmis_qm33,,45,328,7477,71,1024,1646
2024inmis_qm34,,1501,2909,9431,3865,4272,5484
2024inmis_qm35,,2867,5402,8103,135,829,6721
2024inmis_qm36,,461,1555,9530,2171,2197,3936
2024inmis_qm37,,3147,6956,7198,3176,3940,9071
2024inmis_qm38,,71,2909,9119,2867,5484,9554
2024inmis_qm39,,45,9431,9530,328,1555,8103
2024inmis_qm4,,6721,7198,8103,829,1501,2171
2024inmis_qm40,,2197,3147,3865,1501,3176,7477
2024inmis_qm41,,461,4272,7198,135,6956,9119
2024inmis_qm42,,1646,3936,9071,2171,3940,6721
2024inmis_qm43,,829,1024,3865,1555,5402,9554
2024inmis_qm44,,2197,8103,9431,71,461,1501
2024inmis_qm45,,2867,2909,3936,829,1646,5402
2024inmis_qm46,,3176,6721,6956,45,135,4272
2024inmis_qm47,,1024,2171,7198,5484,7477,9071
2024inmis_qm48,,328,9119,9554,3147,3940,9530
2024inmis_qm49,,3865,3936,9431,829,3176,7198
2024inmis_qm5,,71,328,3940,1555,3176,4272
2024inmis_qm50,,71,7477,9554,328,4272,9071
2024inmis_qm51,,135,3940,5402,461,2197,6721
2024inmis_qm52,,1024,2909,9530,1501,1555,6956
2024inmis_qm53,,45,2171,8103,2867,3147,9119
2024inmis_qm54,,71,3176,5484,1646,6721,9530
2024inmis_qm55,,45,1501,5402,3940,7198,7477
2024inmis_qm56,,328,1646,2197,2909,6956,8103
2024inmis_qm57,,1555,3147,9431,3936,4272,9119
2024inmis_qm58,,461,829,5484,135,1024,2867
2024inmis_qm59,,2171,6956,9071,3865,8103,9554
2024inmis_qm6,,3865,5402,9530,135,3147,9554
2024inmis_qm60,,71,829,9431,45,2909,3940
2024inmis_qm61,,1646,5484,9119,135,461,3865
2024inmis_qm62,,1024,4272,9554,3936,7198,9530
2024inmis_qm63,,2171,3147,3176,2197,5402,7477
2024inmis_qm64,,1555,2867,9071,328,1501,6721
2024inmis_qm7,,3940,5484,6956,461,7477,9431
2024inmis_qm8,,328,2867,3176,1501,3936,8103
2024inmis_qm9,,829,1555,9071,45,7198,9119